Nome,Tipo,Coordinate
McDonald's,fast_food,"(45.8125575, 9.0819214)"
La Farcia,fast_food,"(45.8114888, 9.0841432)"
Sottosopra,cafe,"(45.8127837, 9.0854001)"
Bar Argentino,bar,"(45.8120413, 9.0833066)"
L'Ancora,restaurant,"(45.831455, 9.0709868)"
Vecchia Tavernola,restaurant,"(45.8314242, 9.0717494)"
L'antico borgo,bar,"(45.8106643, 9.0729685)"
"Chiesa Cristiana evangelica ""Emmanuel""",place_of_worship,"(45.8108165, 9.0726768)"
Bar Il Caffè,cafe,"(45.8321802, 9.0459649)"
Intesa Sanpaolo,bank,"(45.8127557, 9.0804377)"
UniCredit Bank,bank,"(45.8124212, 9.0809398)"
Cervo,restaurant,"(45.8169278, 9.0829451)"
Antica Darsena,restaurant,"(45.8143228, 9.0828192)"
Il vecchio borgo,restaurant,"(45.8146667, 9.08379)"
Bar Lario,bar,"(45.8155681, 9.0832147)"
Fontana d'oro,restaurant,"(45.8166042, 9.0829527)"
India fast food,restaurant,"(45.8062858, 9.087835)"
Pizzeria Eco del mare,restaurant,"(45.8055057, 9.0885181)"
Il caffè dei viaggiatori,cafe,"(45.8078402, 9.0851143)"
Mariett,bar,"(45.8100759, 9.0845521)"
Monte dei Paschi di Siena,bank,"(45.8123237, 9.079558)"
Il Pacchero 2.0,restaurant,"(45.8013087, 9.0923439)"
I Monelli,restaurant,"(45.7965441, 9.0609607)"
Lago Food & Co,restaurant,"(45.8158384, 9.0830965)"
Luca’s Bar,bar,"(45.8147289, 9.0843423)"
Hemingway,bar,"(45.8119555, 9.0803266)"
Farmacia Sant'Anna,pharmacy,"(45.7912856, 9.0752113)"
Ermitage,restaurant,"(45.8047704, 9.0997653)"
Cornobobo wine bar,bar,"(45.8148569, 9.0847242)"
Lasagne bar,bar,"(45.8158156, 9.0836052)"
Dodgy Kebab Shop,fast_food,"(45.8152974, 9.0842255)"
Bar Umberto I,bar,"(45.8152158, 9.0836559)"
Cassetta postale Como 10,post_box,"(45.8303722, 9.0384452)"
Piazza Roma,restaurant,"(45.8129596, 9.0836238)"
Ristorante Sociale,restaurant,"(45.8126219, 9.0835617)"
Il Comacino,restaurant,"(45.8092295, 9.0827978)"
Pizza Garage,restaurant,"(45.7897063, 9.0830591)"
Figli dei Fiori,restaurant,"(45.810963, 9.0720105)"
Crìanza,restaurant,"(45.8082619, 9.0782998)"
Napulè,restaurant,"(45.8074758, 9.0933326)"
Arti in Pizza,fast_food,"(45.8043004, 9.0931271)"
Caffe & Caffe,cafe,"(45.8107586, 9.0799607)"
Il Sorso,bar,"(45.8118834, 9.080062)"
Istituto Giovanni Pascoli,school,"(45.8032699, 9.0894691)"
Jolly Blue,bar,"(45.8053995, 9.0887883)"
Castellini - Scuola d'Arti e Mestieri,school,"(45.8058937, 9.0892392)"
Pizzium,restaurant,"(45.8070297, 9.0778999)"
Polispecialistica Lariana,doctors,"(45.8020446, 9.0924924)"
L'Angolo del Gusto,restaurant,"(45.8046131, 9.0928098)"
Ai Portici,cafe,"(45.8113235, 9.0837193)"
Banca Popolare di Sondrio,bank,"(45.8060958, 9.0791805)"
Degusteria,restaurant,"(45.810683, 9.0813089)"
Iceberg,ice_cream,"(45.7913513, 9.0662788)"
Poste Italiane,post_office,"(45.7923864, 9.0643129)"
Rossetti,doctors,"(45.7915365, 9.0730346)"
"Cineteatro Nuovo, Rebbio",theatre,"(45.7898483, 9.0755736)"
La giara,restaurant,"(45.7910846, 9.0789752)"
Mediolanum,bank,"(45.7909883, 9.079932)"
Joshua Blues Club,arts_centre,"(45.7772788, 9.0985895)"
CRAL,restaurant,"(45.8020076, 9.1002958)"
Cresta Alta Como,restaurant,"(45.7867328, 9.0594982)"
Mignon,cafe,"(45.8106864, 9.0800052)"
Ristorante Caffè Teatro,restaurant,"(45.8118301, 9.0848838)"
Intesa Sanpaolo,bank,"(45.8119636, 9.078492)"
Da Chicco,restaurant,"(45.8293674, 9.0431216)"
Pizzeria dea Quinto,cafe,"(45.8058768, 9.0855363)"
Newater,car_wash,"(45.8269306, 9.047095)"
La Cava dei Sapori,restaurant,"(45.7861479, 9.0692413)"
Al Cucchi,ice_cream,"(45.8116862, 9.0815296)"
Al Cucchi,restaurant,"(45.8116585, 9.0813749)"
Anvedi Che Pizza,fast_food,"(45.8114613, 9.0816919)"
La Quinta,restaurant,"(45.8118084, 9.0817427)"
Al Cucchi,cafe,"(45.8116834, 9.0814539)"
Alle Terrazze Como,bar,"(45.8219468, 9.0787922)"
Como Dental Care,dentist,"(45.8379921, 9.0422937)"
Caffè Mazzini,cafe,"(45.8106876, 9.0802701)"
Giardino,restaurant,"(45.8268162, 9.0484388)"
Farmacia Centrale,pharmacy,"(45.8129168, 9.0818337)"
Dott. Marco Luigi Molteni,doctors,"(45.8093952, 9.0900006)"
Corner,cafe,"(45.8050058, 9.0842906)"
Ristorante Imbarcadero,restaurant,"(45.8129186, 9.0798949)"
La casa di Gino,social_facility,"(45.7937019, 9.1056423)"
Di Puglia un po',restaurant,"(45.8154667, 9.0661661)"
Stilo,restaurant,"(45.8127973, 9.0795612)"
Hosterietta,restaurant,"(45.8120423, 9.0796342)"
PreTesto,restaurant,"(45.8125326, 9.0816829)"
Intesa Sanpaolo,bank,"(45.8261097, 9.0493864)"
Bar Lin,cafe,"(45.8142579, 9.0840743)"
Manara Caffè,cafe,"(45.8144403, 9.0841657)"
Voglia di Pasta,restaurant,"(45.8141438, 9.0847372)"
Farmacia Arrighi,pharmacy,"(45.7993294, 9.1075899)"
Top Gourmet,restaurant,"(45.8127047, 9.0827288)"
Little Free Library,public_bookcase,"(45.8247284, 9.0792848)"
Roadhouse,restaurant,"(45.7971864, 9.1141283)"
Banca Popolare di Sondrio,bank,"(45.7973684, 9.113686)"
Camerlata,post_office,"(45.7906198, 9.0802404)"
Lora,post_office,"(45.7949932, 9.1063343)"
Intesa Sanpaolo,bank,"(45.7901288, 9.0846354)"
La Ghironda,restaurant,"(45.8228326, 9.0554099)"
Il Diavolo L’Acqua Santa,restaurant,"(45.8390709, 9.0396739)"
Pizzeria Lariana,restaurant,"(45.8148029, 9.0846821)"
Visini Como,restaurant,"(45.8118483, 9.0819295)"
Lughino - come Natura insegna,restaurant,"(45.8096365, 9.0823198)"
Bar al Vo’,bar,"(45.8152788, 9.084295)"
ge.lab,ice_cream,"(45.8106063, 9.0816055)"
Studio Dentistico Dr. Guido Meroni,dentist,"(45.8297537, 9.0441982)"
Il Baretto,bar,"(45.7965194, 9.1084129)"
Gelateria Rossetti,ice_cream,"(45.7956044, 9.1072789)"
Grotta,place_of_worship,"(45.7975125, 9.1094709)"
Bar Mario,bar,"(45.7979693, 9.1073379)"
C'era una volta,fast_food,"(45.7979183, 9.1074476)"
Crédit Agricole,bank,"(45.7952808, 9.1068534)"
Osteria del Buongustaio,restaurant,"(45.8107039, 9.0802939)"
Doppio Malto,restaurant,"(45.8093305, 9.0840011)"
Locanda dei Giurati,restaurant,"(45.80539, 9.0881533)"
Banca Popolare di Sondrio,bank,"(45.8103926, 9.0848514)"
Il Farcito,restaurant,"(45.8075155, 9.08444)"
Gelateria Cavour,ice_cream,"(45.8131908, 9.0816612)"
Why Not?,restaurant,"(45.8133291, 9.08153)"
Marghe…rita,cafe,"(45.8118886, 9.0876)"
Cassetta postale Como 82,post_box,"(45.8319388, 9.0357462)"
La dolce vita,bar,"(45.831944, 9.0360071)"
Caffeteria 800,cafe,"(45.8100279, 9.0806747)"
Bar Nuovo,cafe,"(45.8345831, 9.0661894)"
Superpizza,restaurant,"(45.8316525, 9.0366314)"
Il Sale,restaurant,"(45.7988977, 9.1069962)"
Non Solo Pizza,fast_food,"(45.8253829, 9.0505033)"
The Brothers Cafè,cafe,"(45.8112947, 9.0794142)"
L'Ulivo,ice_cream,"(45.812656, 9.0757567)"
Gelateria,fast_food,"(45.813837, 9.0754715)"
